timestamp,thrust,ton,on_duration
2025-01-01 00:00:00,12.29802849180674,0.0,1.0
2025-01-01 00:00:01,12.826132328388198,1.0,1.0
2025-01-01 00:00:02,14.206794941042233,2.0,1.0
2025-01-01 00:00:03,15.641090641117541,3.0,1.0
2025-01-01 00:00:04,15.495871611529635,4.0,1.0
2025-01-01 00:00:05,16.404972371285037,5.0,1.0
2025-01-01 00:00:06,18.40207314384989,6.0,1.0
2025-01-01 00:00:07,18.824097201128108,7.0,1.0
2025-01-01 00:00:08,18.991042641166302,8.0,1.0
2025-01-01 00:00:09,20.507354207969758,9.0,1.0
2025-01-01 00:00:10,20.812858475221613,10.0,1.0
2025-01-01 00:00:11,21.720562147857844,11.0,1.0
